delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Alpha.Re.estimate,Confidence.Interval.Low,Confidence.Interval.High,NON.SSR.Alpha.Re.estimate,NON.SSR.Confidence.Interval.Low,NON.SSR.Confidence.Interval.High
0,6.5,6,6.479559396,162,"191 (190.957,191.043)",0.049376,0.049069608,0.049682392,0.049622,0.049314886,0.049929114
0,6.5,6.3,6.481899316,180,"191 (190.96,191.04)",0.049686,0.049378698,0.049993302,0.04993,0.049621984,0.050238016
0,6.5,6.5,6.482905319,190,"191 (190.961,191.039)",0.050224,0.049915126,0.050532874,0.050482,0.050172376,0.050791624
0,6.5,6.8,6.48425611,208,"191 (190.962,191.038)",0.0498,0.049492364,0.050107636,0.049698,0.049390663,0.050005337
0,6.5,7,6.48540556,222,"191 (190.964,191.036)",0.049802,0.049494358,0.050109642,0.050076,0.049767557,0.050384443
0,5,4.5,4.972117371,92,"113 (112.966,113.034)",0.049728,0.049420575,0.050035425,0.050188,0.049879231,0.050496769
0,5,4.8,4.976097381,104,"113 (112.968,113.032)",0.04962,0.049312891,0.049927109,0.049514,0.049207202,0.049820798
0,5,5,4.977314172,112,"113 (112.97,113.03)",0.049964,0.049655884,0.050272116,0.05023,0.049921109,0.050538891
0,5,5.3,4.981087928,126,"113 (112.972,113.028)",0.050156,0.049847324,0.050464676,0.049448,0.049141396,0.049754604
0,5,5.5,4.981922874,136,"113 (112.972,113.028)",0.049732,0.049424563,0.050039437,0.04967,0.049362745,0.049977255
