"delta","Sigma.TRUE","Sigma.Assumed","Sigma.Re.estimate","Sample.Size.Initial","Sample.Size.Re.estimate","Beta.Re.estimate","Confidence.Interval.Beta.Low","Confidence.Interval.Beta.High","NON.SSR.Beta.Re.estimate","NON.SSR.Confidence.Interval.Beta.Low","NON.SSR.Confidence.Interval.Beta.High","Power.Re.estimate","Confidence.Interval.Power.Low","Confidence.Interval.Power.High","Power.Re.estimate.1","NON.SSR.Confidence.Interval.Power.Low","NON.SSR.Confidence.Interval.Power.High"
2.34,6.5,6,6.45729120465643,162,"191 (190.939,191.061)",0.210934,0.210357040993408,0.211510959006592,0.263006,0.262383370344484,0.262383370344484,0.789066,0.788489040993408,0.789642959006592,0.263006,0.736371370344484,0.737616629655516
2.34,6.5,6.3,6.46469160831234,180,"191 (190.943,191.057)",0.21021,0.209633767831686,0.210786232168314,0.223922,0.223332456213813,0.223332456213813,0.78979,0.789213767831686,0.790366232168314,0.223922,0.775488456213813,0.776667543786187
2.34,6.5,6.5,6.46464960705569,190,"191 (190.944,191.056)",0.208648,0.208073345300035,0.209222654699965,0.203804,0.203234319511333,0.203234319511333,0.791352,0.790777345300035,0.791926654699965,0.203804,0.795626319511333,0.796765680488667
2.34,6.5,6.8,6.46716708527328,208,"191 (190.947,191.053)",0.208192,0.207617808235629,0.208766191764372,0.174016,0.173479838770995,0.173479838770995,0.791808,0.791233808235628,0.792382191764371,0.174016,0.825447838770995,0.826520161229005
2.34,6.5,7,6.469650385061,222,"191 (190.949,191.051)",0.206464,0.205891572508165,0.207036427491835,0.150724,0.150218023170839,0.150218023170839,0.793536,0.792963572508166,0.794108427491835,0.150724,0.848770023170839,0.849781976829161
2.34,5,4.5,4.94246647085237,92,"113 (112.952,113.048)",0.21889,0.218305231382682,0.219474768617318,0.279892,0.279257094545092,0.279257094545092,0.78111,0.780525231382682,0.781694768617318,0.279892,0.719473094545092,0.720742905454908
2.34,5,4.8,4.95068004143295,104,"113 (112.955,113.045)",0.214484,0.213903516384824,0.215064483615176,0.23218,0.231582886195772,0.231582886195772,0.785516,0.784935516384824,0.786096483615176,0.23218,0.767222886195772,0.768417113804228
2.34,5,5,4.95424369274367,112,"113 (112.957,113.043)",0.21487,0.214289137050416,0.215450862949584,0.2071,0.206526921314303,0.206526921314303,0.78513,0.784549137050416,0.785710862949584,0.2071,0.792326921314303,0.793473078685697
2.34,5,5.3,4.96000736224043,126,"113 (112.959,113.041)",0.21134,0.210762634596811,0.211917365403189,0.165456,0.164930490129372,0.164930490129372,0.78866,0.788082634596811,0.789237365403189,0.165456,0.834018490129371,0.835069509870628
2.34,5,5.5,4.96241077499629,136,"113 (112.961,113.039)",0.210774,0.210197201385362,0.211350798614638,0.141526,0.141033057018867,0.141033057018867,0.789226,0.788649201385362,0.789802798614638,0.141526,0.857981057018867,0.858966942981133
