"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
82,90,138,104,116,84,76,70,64,68
126,140,96,114,110,72,54,68,70,68
82,90,146,104,110,46,52,56,64,68
104,100,96,104,110,70,68,62,64,68
94,100,96,114,110,64,72,56,64,68
116,94,132,104,110,60,52,56,64,68
148,94,96,104,124,58,72,56,64,68
98,110,112,122,116,70,58,60,72,68
90,100,96,104,110,52,56,62,64,68
104,90,102,104,110,68,64,60,64,68
82,112,96,104,120,52,96,92,64,76
106,104,108,104,110,46,52,56,64,68
82,108,96,104,120,58,68,62,64,86
86,124,104,160,110,46,52,76,64,68
106,184,96,104,110,74,62,62,68,68
82,106,114,108,136,58,70,56,64,68
82,90,96,104,110,46,64,66,106,68
124,116,98,104,130,74,66,56,64,68
106,120,102,104,110,46,52,56,64,68
82,96,98,104,110,88,60,56,100,68
110,90,96,104,110,74,90,56,66,82
90,108,96,114,110,72,80,78,64,68
112,90,96,104,110,54,52,76,66,68
82,92,112,118,110,56,52,56,64,68
98,100,96,104,110,88,68,80,74,68
100,90,98,104,110,56,76,64,90,68
128,98,102,116,124,56,60,82,64,68
102,108,96,124,156,66,52,56,64,68
130,126,124,104,116,68,54,56,64,68
90,100,96,114,110,46,54,96,64,68
82,116,96,110,110,94,52,74,64,68
82,92,98,104,110,70,68,58,70,68
82,126,124,104,110,92,72,70,70,68
102,104,96,106,110,52,56,56,64,68
94,102,102,124,110,66,52,56,72,68
110,118,96,104,110,62,52,64,74,68
84,90,104,112,110,52,52,72,64,68
126,92,96,104,110,98,72,62,64,74
82,90,96,104,110,46,84,56,64,68
112,102,96,128,110,46,52,62,64,68
128,90,96,104,110,70,58,56,94,68
108,142,114,104,118,56,72,56,64,70
122,90,96,104,126,64,52,76,64,68
134,98,96,108,110,60,58,56,64,68
82,100,106,104,110,54,52,56,68,68
90,92,102,108,110,46,52,56,70,68
90,96,96,112,110,80,52,112,64,68
92,90,96,104,110,50,56,56,68,76
96,128,96,104,110,64,54,62,74,68
82,110,96,104,110,64,54,56,64,68
144,90,138,104,110,58,74,56,92,68
96,90,128,104,138,56,52,56,86,68
108,106,96,156,110,54,52,58,84,68
82,108,96,104,110,46,78,56,64,68
82,90,100,104,122,104,52,56,64,68
82,90,96,104,110,76,52,56,64,68
84,90,110,120,110,90,52,56,64,68
120,90,96,104,110,64,64,56,64,68
88,90,96,104,114,70,74,56,64,68
90,138,114,104,110,46,52,92,64,74
92,90,140,122,110,68,66,56,64,68
82,102,96,120,110,64,58,56,64,68
124,112,96,104,110,82,64,62,72,72
84,90,96,126,110,50,64,68,64,68
100,108,96,104,116,46,62,56,82,68
96,112,96,104,116,50,52,56,100,82
84,90,120,104,110,62,52,56,100,86
128,90,96,104,110,66,52,56,64,68
106,92,100,104,110,66,72,56,64,68
108,100,96,104,110,50,68,74,72,68
84,104,106,104,132,68,58,56,70,68
82,116,130,104,110,80,52,56,80,78
82,114,108,104,110,70,60,56,64,70
82,96,120,104,110,52,70,56,64,68
102,124,96,122,110,46,58,56,64,68
116,98,96,104,110,64,70,86,64,68
110,112,100,104,110,58,52,56,64,68
90,90,114,104,110,58,68,68,70,74
158,98,118,104,122,50,72,56,64,68
82,98,96,104,140,64,56,56,64,72
102,132,96,104,110,82,78,56,64,80
82,112,102,104,122,46,60,76,64,68
114,108,96,104,110,56,52,60,64,68
142,188,152,104,110,46,86,56,70,68
114,104,96,104,110,74,52,56,64,74
82,104,96,104,140,54,52,56,64,68
92,128,118,114,110,74,52,88,64,68
82,90,112,104,110,88,52,76,86,84
162,102,96,106,110,68,62,58,64,68
