delta,Sigma.TRUE,Sigma.Assumed,Sigma.Re.estimate,Sample.Size.Initial,Sample.Size.Re.estimate,Beta.Re.estimate,Confidence.Interval.Beta.Low,Confidence.Interval.Beta.High,NON.SSR.Beta.Re.estimate,NON.SSR.Confidence.Interval.Beta.Low,NON.SSR.Confidence.Interval.Beta.High,Power.Re.estimate,Confidence.Interval.Power.Low,Confidence.Interval.Power.High,NON.SSR.Power.Re.estimate,NON.SSR.Confidence.Interval.Power.Low,NON.SSR.Confidence.Interval.Power.High
2.34,6.5,6,6.528873751,82,"101 (100.941,101.059)",0.44775,0.446177518,0.449322482,0.51219,0.510609331,0.510609331,0.55225,0.550677518,0.553822482,0.51219,0.486229331,0.489390669
2.34,6.5,6.3,6.541077665,90,"103 (102.95,103.05)",0.43585,0.434281929,0.437418071,0.47951,0.477930189,0.477930189,0.56415,0.562581929,0.565718071,0.47951,0.518910189,0.522069811
2.34,6.5,6.5,6.553515281,96,"105 (104.958,105.042)",0.4299,0.428334478,0.431465522,0.45948,0.457904062,0.457904062,0.5701,0.568534478,0.571665522,0.45948,0.538944062,0.542095938
2.34,6.5,6.8,6.565832055,104,"109 (108.967,109.033)",0.41349,0.411932707,0.415047293,0.42948,0.427914666,0.427914666,0.58651,0.584952707,0.588067293,0.42948,0.568954666,0.572085334
2.34,6.5,7,6.573768686,110,"113 (112.975,113.025)",0.39837,0.396821868,0.399918132,0.40668,0.405126644,0.405126644,0.60163,0.600081868,0.603178132,0.40668,0.591766644,0.594873356
2.34,5,4.5,5.034028509,46,"61 (60.954,61.046)",0.44886,0.447287153,0.450432847,0.53488,0.533302713,0.533302713,0.55114,0.549567153,0.552712847,0.53488,0.463542713,0.466697287
2.34,5,4.8,5.054927002,52,"63 (62.96,63.04)",0.43812,0.436551017,0.439688983,0.49329,0.491709004,0.491709004,0.56188,0.560311017,0.563448983,0.49329,0.505129004,0.508290996
2.34,5,5,5.064969365,56,"64 (63.964,64.036)",0.42425,0.422687112,0.425812888,0.465,0.46342274,0.46342274,0.57575,0.574187112,0.577312888,0.465,0.53342274,0.53657726
2.34,5,5.3,5.085756475,64,"68 (67.975,68.025)",0.4002,0.398650678,0.401749322,0.41839,0.416830065,0.416830065,0.5998,0.598250678,0.601349322,0.41839,0.580050065,0.583169935
2.34,5,5.5,5.092251675,68,"71 (70.979,71.021)",0.38389,0.382352084,0.385427916,0.39571,0.394163638,0.394163638,0.61611,0.614572084,0.617647916,0.39571,0.602743638,0.605836362
