"delta","Sigma.TRUE","Sigma.Assumed","Sigma.Re.estimate","Sample.Size.Initial","Sample.Size.Re.estimate","Beta.Re.estimate","Confidence.Interval.Beta.Low","Confidence.Interval.Beta.High","NON.SSR.Beta.Re.estimate","NON.SSR.Confidence.Interval.Beta.Low","NON.SSR.Confidence.Interval.Beta.High","Power.Re.estimate","Confidence.Interval.Power.Low","Confidence.Interval.Power.High","Power.Re.estimate.1","NON.SSR.Confidence.Interval.Power.Low","NON.SSR.Confidence.Interval.Power.High"
2.34,6.5,6,6.58438745034419,81,"192 (191.978,192.022)",0.208594,0.208019400064107,0.209168599935893,0.26278,0.262157542496872,0.262157542496872,0.791406,0.790831400064107,0.791980599935893,0.26278,0.736597542496872,0.737842457503128
2.34,6.5,6.3,6.58713422606529,90,"192 (191.979,192.021)",0.197102,0.196539411692983,0.197664588307017,0.223486,0.222896865027682,0.222896865027682,0.802898,0.802335411692983,0.803460588307017,0.223486,0.775924865027682,0.777103134972318
2.34,6.5,6.5,6.58797376907552,95,"192 (191.98,192.02)",0.188638,0.188084730255741,0.189191269744259,0.203566,0.20299656715296,0.20299656715296,0.811362,0.810808730255741,0.811915269744259,0.203566,0.79586456715296,0.79700343284704
2.34,6.5,6.8,6.59082134769483,104,"192 (191.981,192.019)",0.169242,0.168711718668185,0.169772281331815,0.172748,0.172213385880291,0.172213385880291,0.830758,0.830227718668185,0.831288281331815,0.172748,0.826717385880291,0.827786614119709
2.34,6.5,7,6.5898250509627,111,"192 (191.981,192.019)",0.151694,0.151186687610315,0.152201312389685,0.151022,0.150515612094307,0.150515612094307,0.848306,0.847798687610315,0.848813312389685,0.151022,0.848471612094307,0.849484387905693
2.34,5,4.5,5.11027988892164,46,"114 (113.982,114.018)",0.218004,0.217420085184322,0.218587914815678,0.279068,0.278433667198742,0.278433667198742,0.781996,0.781412085184322,0.782579914815678,0.279068,0.720297667198742,0.721566332801258
2.34,5,4.8,5.11358479224444,52,"114 (113.983,114.017)",0.217824,0.217240259124227,0.218407740875773,0.233322,0.232723864824114,0.232723864824114,0.782176,0.781592259124227,0.782759740875773,0.233322,0.766079864824114,0.767276135175886
2.34,5,5,5.11464517500403,56,"114 (113.984,114.016)",0.218506,0.217921600944621,0.219090399055379,0.20684,0.206267187265505,0.206267187265505,0.781494,0.780909600944621,0.782078399055379,0.20684,0.792587187265505,0.793732812734495
2.34,5,5.3,5.1174536428525,63,"114 (113.985,114.015)",0.218296,0.217711803361215,0.218880196638785,0.166828,0.166300749739846,0.166300749739846,0.781704,0.781119803361215,0.782288196638785,0.166828,0.832644749739846,0.833699250260154
2.34,5,5.5,5.11747442211364,68,"114 (113.985,114.015)",0.219032,0.218447094908595,0.219616905091405,0.14219,0.141696093118291,0.141696093118291,0.780968,0.780383094908595,0.781552905091405,0.14219,0.85731609311829,0.858303906881709
