"delta","Sigma.TRUE","Sigma.Assumed","Sigma.Re.estimate","Sample.Size.Initial","Sample.Size.Re.estimate","Alpha.Re.estimate","Confidence.Interval.Low","Confidence.Interval.High","NON.SSR.Alpha.Re.estimate","NON.SSR.Confidence.Interval.Low","NON.SSR.Confidence.Interval.High"
0,6.5,6,6.35031606143329,162,"183 (182.957,183.043)",0.049736,0.0494285513691558,0.0500434486308442,0.050402,0.0500926082147309,0.0507113917852691
0,6.5,6.3,6.3562553501616,180,"184 (183.96,184.04)",0.050452,0.0501424629401962,0.0507615370598038,0.050538,0.0502282132651129,0.0508477867348871
0,6.5,6.5,6.35661429268909,190,"184 (183.961,184.039)",0.049256,0.048949961288514,0.049562038711486,0.049416,0.0491094904277384,0.0497225095722616
0,6.5,6.8,6.36016734566133,208,"184 (183.963,184.037)",0.050186,0.0498772367722542,0.0504947632277458,0.049812,0.0495043288617501,0.0501196711382499
0,6.5,7,6.36271789390833,222,"184 (183.964,184.036)",0.05082,0.0505093963052377,0.0511306036947623,0.050378,0.0500686779764841,0.0506873220235159
0,5,4.5,4.79916043960696,92,"105 (104.967,105.033)",0.049412,0.0491055021884059,0.0497184978115941,0.049892,0.049584094857672,0.050199905142328
0,5,4.8,4.80691105774586,104,"106 (105.969,106.031)",0.049906,0.0495980539295136,0.0502139460704864,0.049888,0.0495801065526647,0.0501958934473353
0,5,5,4.81067848449453,112,"106 (105.97,106.03)",0.050112,0.0498034524754402,0.0504205475245598,0.049702,0.0493946509762631,0.0500093490237369
0,5,5.3,4.81764997209252,126,"106 (105.972,106.028)",0.0507,0.0503897436221445,0.0510102563778555,0.050116,0.0498074408110459,0.0504245591889541
0,5,5.5,4.82088068244917,136,"106 (105.973,106.027)",0.050856,0.0505452922039472,0.0511667077960528,0.049784,0.0494764108150666,0.0500915891849334
