"delta","Sigma.TRUE","Sigma.Assumed","Sigma.Re.estimate","Sample.Size.Initial","Sample.Size.Re.estimate","Beta.Re.estimate","Confidence.Interval.Beta.Low","Confidence.Interval.Beta.High","NON.SSR.Beta.Re.estimate","NON.SSR.Confidence.Interval.Beta.Low","NON.SSR.Confidence.Interval.Beta.High","Power.Re.estimate","Confidence.Interval.Power.Low","Confidence.Interval.Power.High","Power.Re.estimate.1","NON.SSR.Confidence.Interval.Power.Low","NON.SSR.Confidence.Interval.Power.High"
2.34,6.5,6,6.56055135389484,162,"196 (195.954,196.046)",0.213764,0.21318422598833,0.21434377401167,0.26328,0.262657161912533,0.262657161912533,0.786236,0.78565622598833,0.78681577401167,0.26328,0.736097161912533,0.737342838087467
2.34,6.5,6.3,6.56596174319864,180,"196 (195.957,196.043)",0.210846,0.210269129192481,0.211422870807519,0.223576,0.222986780563416,0.222986780563416,0.789154,0.788577129192481,0.789730870807519,0.223576,0.775834780563416,0.777013219436584
2.34,6.5,6.5,6.56775659143182,190,"196 (195.958,196.042)",0.21177,0.211192205110615,0.212347794889386,0.204322,0.203751781585152,0.203751781585152,0.78823,0.787652205110615,0.788807794889385,0.204322,0.795107781585152,0.796248218414848
2.34,6.5,6.8,6.57098026687733,208,"196 (195.96,196.04)",0.211004,0.210426970863848,0.211581029136152,0.17346,0.172924515866902,0.172924515866902,0.788996,0.788418970863848,0.789573029136152,0.17346,0.826004515866902,0.827075484133098
2.34,6.5,7,6.57443782515609,222,"196 (195.961,196.039)",0.207554,0.206980457783447,0.208127542216553,0.151588,0.151080833206418,0.151080833206418,0.792446,0.791872457783447,0.793019542216553,0.151588,0.847904833206418,0.848919166793582
2.34,5,4.5,5.07648551129978,92,"118 (117.962,118.038)",0.221372,0.220784860429513,0.221959139570487,0.279492,0.278857372200521,0.278857372200521,0.778628,0.778040860429513,0.779215139570487,0.279492,0.719873372200521,0.721142627799479
2.34,5,4.8,5.08241082320738,104,"118 (117.965,118.035)",0.219342,0.218756797322228,0.219927202677772,0.234242,0.233643046436798,0.233643046436798,0.780658,0.780072797322228,0.781243202677772,0.234242,0.765159046436798,0.766356953563202
2.34,5,5,5.08603279726522,112,"118 (117.966,118.034)",0.218628,0.218043483451704,0.219212516548296,0.207024,0.206450999016713,0.206450999016713,0.781372,0.780787483451704,0.781956516548296,0.207024,0.792402999016713,0.793549000983287
2.34,5,5.3,5.09378792560835,126,"118 (117.968,118.032)",0.216676,0.216093372312666,0.217258627687334,0.166752,0.166224845809092,0.166224845809092,0.783324,0.782741372312666,0.783906627687334,0.166752,0.832720845809092,0.833775154190908
2.34,5,5.5,5.09532259282063,136,"118 (117.969,118.031)",0.214864,0.214283142940985,0.215444857059015,0.141868,0.141374560093677,0.141374560093677,0.785136,0.784555142940985,0.785716857059015,0.141868,0.857638560093677,0.858625439906323
